,Rank,Movie,year,genre,Runtime,Certificate,Rating
81,82.,Witness for the Prosecution,1957,"Crime, Drama, Mystery",116 min,U,8.4
82,83.,Paths of Glory,1957,"Drama, War",88 min,A,8.4
83,84.,Sunset Blvd.,1950,"Drama, Film-Noir",110 min,,8.4
84,85.,The Great Dictator,1940,"Comedy, Drama, War",125 min,,8.4
85,86.,Everything Everywhere All at Once,2022,"Action, Adventure, Comedy",139 min,R,8.3
86,87.,Dangal,2016,"Action, Biography, Drama",161 min,U,8.3
87,88.,Jagten,2012,Drama,115 min,7,8.3
88,89.,Jodaeiye Nader az Simin,2011,Drama,123 min,7,8.3
89,90.,Incendies,2010,"Drama, Mystery",131 min,18,8.3
90,91.,Spider-Man: No Way Home,2021,"Action, Adventure, Fantasy",148 min,UA,8.3
91,92.,Up,2009,"Animation, Adventure, Comedy",96 min,U,8.3
92,93.,Taare Zameen Par,2007,"Drama, Family",165 min,U,8.3
93,94.,Toy Story 3,2010,"Animation, Adventure, Comedy",103 min,U,8.3
94,95.,Inglourious Basterds,2009,"Adventure, Drama, War",153 min,A,8.3
95,96.,Eternal Sunshine of the Spotless Mind,2004,"Drama, Romance, Sci-Fi",108 min,UA,8.3
96,97.,Le fabuleux destin d'Amélie Poulain,2001,"Comedy, Romance",122 min,U,8.3
97,98.,Snatch,2000,"Comedy, Crime",104 min,UA,8.3
98,99.,Requiem for a Dream,2000,Drama,102 min,A,8.3
99,100.,Good Will Hunting,1997,"Drama, Romance",126 min,U,8.3
100,101.,Toy Story,1995,"Animation, Adventure, Comedy",81 min,U,8.3
101,102.,Heat,1995,"Action, Crime, Drama",170 min,A,8.3
102,103.,Reservoir Dogs,1992,"Crime, Drama, Thriller",99 min,15+,8.3
103,104.,Full Metal Jacket,1987,"Drama, War",116 min,UA,8.3
104,105.,Once Upon a Time in America,1984,"Crime, Drama",229 min,A,8.3
105,106.,Scarface,1983,"Crime, Drama",170 min,A,8.3
106,107.,Star Wars: Episode VI - Return of the Jedi,1983,"Action, Adventure, Fantasy",131 min,U,8.3
107,108.,The Sting,1973,"Comedy, Crime, Drama",129 min,U,8.3
108,109.,A Clockwork Orange,1971,"Crime, Sci-Fi",136 min,A,8.3
109,110.,2001: A Space Odyssey,1968,"Adventure, Sci-Fi",149 min,U,8.3
110,111.,To Kill a Mockingbird,1962,"Crime, Drama",129 min,U,8.3
111,112.,Lawrence of Arabia,1962,"Adventure, Biography, Drama",218 min,U,8.3
112,113.,Judgment at Nuremberg,1961,"Drama, War",179 min,A,8.3
113,114.,The Apartment,1960,"Comedy, Drama, Romance",125 min,U,8.3
114,115.,North by Northwest,1959,"Action, Adventure, Mystery",136 min,U,8.3
115,116.,Vertigo,1958,"Mystery, Romance, Thriller",128 min,A,8.3
116,117.,Pather Panchali,1955,Drama,125 min,U,8.3
117,118.,Singin' in the Rain,1952,"Comedy, Musical, Romance",103 min,G,8.3
118,119.,Ikiru,1952,Drama,143 min,U,8.3
119,120.,Ladri di biciclette,1948,Drama,89 min,U,8.3
120,121.,Double Indemnity,1944,"Crime, Drama, Film-Noir",107 min,,8.3
121,122.,Citizen Kane,1941,"Drama, Mystery",119 min,UA,8.3
122,123.,M - Eine Stadt sucht einen Mörder,1931,"Crime, Mystery, Thriller",117 min,,8.3
123,124.,Metropolis,1927,"Drama, Sci-Fi",153 min,,8.3
124,125.,The Kid,1921,"Comedy, Drama, Family",68 min,,8.3
125,126.,1917,2019,"Action, Drama, War",119 min,R,8.2
126,127.,Green Book,2018,"Biography, Comedy, Drama",130 min,UA,8.2
127,128.,Inside Out,I 2015,"Animation, Adventure, Comedy",95 min,U,8.2
128,129.,El secreto de sus ojos,2009,"Drama, Mystery, Romance",129 min,R,8.2
129,130.,Warrior,2011,"Action, Drama, Sport",140 min,UA,8.2
130,131.,Shutter Island,2010,"Mystery, Thriller",138 min,A,8.2
131,132.,The Father,I 2020,"Drama, Mystery",97 min,UA,8.2
132,133.,The Wolf of Wall Street,2013,"Biography, Comedy, Crime",180 min,A,8.2
133,134.,No Country for Old Men,2007,"Crime, Drama, Thriller",122 min,18,8.2
134,135.,Babam ve Oglum,2005,"Drama, Family",112 min,,8.2
135,136.,There Will Be Blood,2007,Drama,158 min,A,8.2
136,137.,Pan's Labyrinth,2006,"Drama, Fantasy, War",118 min,UA,8.2
137,138.,V for Vendetta,2005,"Action, Drama, Sci-Fi",132 min,UA,8.2
138,139.,Batman Begins,2005,"Action, Crime, Drama",140 min,UA,8.2
139,140.,Der Untergang,2004,"Biography, Drama, History",156 min,R,8.2
140,141.,Hauru no ugoku shiro,2004,"Animation, Adventure, Family",119 min,U,8.2
141,142.,A Beautiful Mind,2001,"Biography, Drama",135 min,UA,8.2
142,143.,Kill Bill: Vol. 1,2003,"Action, Crime, Drama",111 min,A,8.2
143,144.,Finding Nemo,2003,"Animation, Adventure, Comedy",100 min,U,8.2
144,145.,The Sixth Sense,1999,"Drama, Mystery, Thriller",107 min,A,8.2
145,146.,"Lock, Stock and Two Smoking Barrels",1998,"Action, Comedy, Crime",107 min,A,8.2
146,147.,The Truman Show,1998,"Comedy, Drama",103 min,U,8.2
147,148.,L.A. Confidential,1997,"Crime, Drama, Mystery",138 min,A,8.2
148,149.,Bacheha-Ye aseman,1997,"Drama, Family, Sport",89 min,PG,8.2
149,150.,Casino,1995,"Crime, Drama",178 min,A,8.2
150,151.,Jurassic Park,1993,"Action, Adventure, Sci-Fi",127 min,UA,8.2
151,152.,Unforgiven,1992,"Drama, Western",130 min,A,8.2
152,153.,Indiana Jones and the Last Crusade,1989,"Action, Adventure",127 min,U,8.2
153,154.,Die Hard,1988,"Action, Thriller",132 min,A,8.2
154,155.,Ran,1985,"Action, Drama, War",162 min,U,8.2
155,156.,The Thing,1982,"Horror, Mystery, Sci-Fi",109 min,A,8.2
156,157.,Raging Bull,1980,"Biography, Drama, Sport",129 min,A,8.2
157,158.,The Elephant Man,1980,"Biography, Drama",124 min,UA,8.2
158,159.,Taxi Driver,1976,"Crime, Drama",114 min,A,8.2
159,160.,Monty Python and the Holy Grail,1975,"Adventure, Comedy, Fantasy",91 min,U,8.2
160,161.,Dersu Uzala,1975,"Adventure, Biography, Drama",142 min,U,8.2
161,162.,Chinatown,1974,"Drama, Mystery, Thriller",130 min,UA,8.2
162,163.,Per qualche dollaro in più,1965,Western,132 min,U,8.2
